Fecha,Sistema operativo,Número de vistas de página
2 may 2019,Windows,100
2 may 2019,iOS,3
2 may 2019,Linux,1
3 may 2019,Android,52
3 may 2019,Windows,143
3 may 2019,Linux,16
4 may 2019,iOS,1
4 may 2019,Android,15
4 may 2019,Windows,47
5 may 2019,Android,46
5 may 2019,iOS,1
5 may 2019,Windows,23
6 may 2019,Windows,232
6 may 2019,Linux,1
6 may 2019,iOS,1
6 may 2019,Android,31
7 may 2019,Android,52
7 may 2019,Windows,97
7 may 2019,iOS,1
8 may 2019,Macintosh,2
8 may 2019,Windows,81
8 may 2019,Android,60
8 may 2019,iOS,5
9 may 2019,Android,35
9 may 2019,Windows,77
9 may 2019,Linux,6
9 may 2019,iOS,4
10 may 2019,iOS,1
10 may 2019,Windows,70
10 may 2019,Android,62
11 may 2019,iOS,4
11 may 2019,Windows,49
11 may 2019,Android,68
12 may 2019,Android,30
12 may 2019,Windows,68
13 may 2019,Linux,4
13 may 2019,Android,15
13 may 2019,Windows,96
14 may 2019,Macintosh,3
14 may 2019,Android,13
14 may 2019,Windows,85
14 may 2019,iOS,1
15 may 2019,Android,44
15 may 2019,iOS,10
15 may 2019,Windows,122
16 may 2019,iOS,9
16 may 2019,Windows,78
16 may 2019,Android,42
17 may 2019,iOS,1
17 may 2019,Linux,1
17 may 2019,Windows,102
17 may 2019,Android,65
18 may 2019,Windows,9
18 may 2019,Android,41
19 may 2019,Linux,59
19 may 2019,Windows,31
19 may 2019,Android,31
20 may 2019,Android,19
20 may 2019,Windows,56
20 may 2019,Macintosh,1
21 may 2019,Android,41
21 may 2019,iOS,8
21 may 2019,Windows,167
22 may 2019,Macintosh,2
22 may 2019,iOS,9
22 may 2019,Android,51
22 may 2019,Windows,54
23 may 2019,Android,33
23 may 2019,iOS,3
23 may 2019,Windows,53
24 may 2019,Macintosh,13
24 may 2019,Windows,66
24 may 2019,Android,10
25 may 2019,Windows,21
25 may 2019,Android,15
25 may 2019,iOS,2
26 may 2019,Windows,16
26 may 2019,Android,15
26 may 2019,Linux,35
27 may 2019,Windows,102
27 may 2019,Linux,4
27 may 2019,Android,13
28 may 2019,Windows,60
28 may 2019,Android,53
28 may 2019,iOS,3
28 may 2019,Macintosh,1
29 may 2019,iOS,1
29 may 2019,Windows,154
29 may 2019,Android,27
30 may 2019,Android,10
30 may 2019,Windows,91
30 may 2019,Linux,8
31 may 2019,Windows,101
31 may 2019,Linux,24
31 may 2019,iOS,2
31 may 2019,Android,4
1 jun 2019,Windows,49
1 jun 2019,Android,26
2 jun 2019,Windows,58
