Fecha,Categoría de dispositivo,Número de vistas de página
14 jun 2019,mobile,30
14 jun 2019,desktop,32
15 jun 2019,mobile,6
15 jun 2019,desktop,35
16 jun 2019,mobile,4
16 jun 2019,desktop,15
17 jun 2019,desktop,19
17 jun 2019,mobile,12
18 jun 2019,desktop,121
18 jun 2019,mobile,42
19 jun 2019,mobile,13
19 jun 2019,desktop,20
20 jun 2019,desktop,38
20 jun 2019,mobile,35
21 jun 2019,mobile,42
21 jun 2019,desktop,141
22 jun 2019,mobile,7
22 jun 2019,desktop,18
23 jun 2019,mobile,17
23 jun 2019,desktop,26
24 jun 2019,desktop,42
24 jun 2019,mobile,29
25 jun 2019,mobile,48
25 jun 2019,desktop,67
26 jun 2019,mobile,32
26 jun 2019,desktop,98
27 jun 2019,mobile,27
27 jun 2019,desktop,76
28 jun 2019,desktop,95
28 jun 2019,mobile,3
29 jun 2019,mobile,14
29 jun 2019,desktop,56
30 jun 2019,desktop,79
30 jun 2019,tablet,3
30 jun 2019,mobile,32
1 jul 2019,mobile,36
1 jul 2019,desktop,61
2 jul 2019,desktop,87
2 jul 2019,mobile,51
3 jul 2019,desktop,86
3 jul 2019,mobile,55
4 jul 2019,mobile,32
4 jul 2019,desktop,54
5 jul 2019,mobile,26
5 jul 2019,desktop,88
6 jul 2019,mobile,21
6 jul 2019,desktop,63
7 jul 2019,desktop,1
7 jul 2019,mobile,4
8 jul 2019,mobile,7
8 jul 2019,desktop,57
9 jul 2019,mobile,37
9 jul 2019,desktop,32
10 jul 2019,desktop,25
10 jul 2019,mobile,78
11 jul 2019,desktop,86
11 jul 2019,mobile,18
12 jul 2019,mobile,7
12 jul 2019,desktop,50
13 jul 2019,desktop,16
13 jul 2019,mobile,59
14 jul 2019,desktop,9
14 jul 2019,mobile,7
15 jul 2019,desktop,40
15 jul 2019,mobile,16
16 jul 2019,mobile,10
16 jul 2019,desktop,21
17 jul 2019,mobile,6
17 jul 2019,desktop,19
18 jul 2019,mobile,13
18 jul 2019,desktop,38
19 jul 2019,mobile,66
19 jul 2019,desktop,30
20 jul 2019,desktop,26
20 jul 2019,mobile,3
21 jul 2019,desktop,16
21 jul 2019,mobile,17
22 jul 2019,mobile,16
22 jul 2019,desktop,182
22 jul 2019,tablet,1
23 jul 2019,desktop,1
23 jul 2019,mobile,1
24 jul 2019,mobile,15
24 jul 2019,desktop,38
24 jul 2019,tablet,1
25 jul 2019,mobile,7
25 jul 2019,desktop,43
26 jul 2019,mobile,18
26 jul 2019,desktop,67
27 jul 2019,mobile,14
27 jul 2019,desktop,6
28 jul 2019,mobile,29
28 jul 2019,desktop,13
29 jul 2019,desktop,106
29 jul 2019,mobile,25
30 jul 2019,mobile,109
30 jul 2019,desktop,86
31 jul 2019,mobile,46
31 jul 2019,desktop,39
1 ago 2019,desktop,152
1 ago 2019,mobile,22
2 ago 2019,mobile,16
2 ago 2019,desktop,147
3 ago 2019,desktop,34
3 ago 2019,mobile,43
4 ago 2019,desktop,10
4 ago 2019,mobile,22
5 ago 2019,mobile,24
5 ago 2019,desktop,64
6 ago 2019,desktop,113
6 ago 2019,mobile,7
7 ago 2019,mobile,46
7 ago 2019,desktop,30
8 ago 2019,mobile,12
8 ago 2019,desktop,237
9 ago 2019,tablet,1
9 ago 2019,desktop,85
9 ago 2019,mobile,21
10 ago 2019,desktop,37
10 ago 2019,mobile,9
11 ago 2019,mobile,11
11 ago 2019,desktop,25
12 ago 2019,desktop,78
12 ago 2019,mobile,31
13 ago 2019,mobile,31
13 ago 2019,desktop,162
14 ago 2019,desktop,45
14 ago 2019,mobile,29
15 ago 2019,desktop,48
15 ago 2019,mobile,37
16 ago 2019,mobile,20
16 ago 2019,tablet,4
16 ago 2019,desktop,85
17 ago 2019,mobile,6
17 ago 2019,tablet,1
17 ago 2019,desktop,27
18 ago 2019,desktop,20
18 ago 2019,mobile,30
19 ago 2019,mobile,14
19 ago 2019,desktop,40
20 ago 2019,mobile,61
20 ago 2019,desktop,83
21 ago 2019,mobile,46
21 ago 2019,desktop,48
22 ago 2019,tablet,19
22 ago 2019,desktop,171
22 ago 2019,mobile,104
23 ago 2019,mobile,145
23 ago 2019,desktop,149
24 ago 2019,desktop,38
24 ago 2019,mobile,46
25 ago 2019,desktop,91
25 ago 2019,mobile,69
26 ago 2019,desktop,97
26 ago 2019,mobile,111
27 ago 2019,mobile,179
27 ago 2019,desktop,110
28 ago 2019,desktop,157
28 ago 2019,mobile,54
29 ago 2019,desktop,139
29 ago 2019,mobile,146
30 ago 2019,tablet,1
30 ago 2019,mobile,31
30 ago 2019,desktop,74
31 ago 2019,mobile,41
31 ago 2019,desktop,33
1 sept 2019,desktop,10
1 sept 2019,mobile,11
2 sept 2019,desktop,77
2 sept 2019,mobile,15
3 sept 2019,mobile,16
3 sept 2019,desktop,29
4 sept 2019,mobile,125
4 sept 2019,desktop,108
5 sept 2019,mobile,101
5 sept 2019,desktop,199
6 sept 2019,desktop,55
6 sept 2019,mobile,73
6 sept 2019,tablet,1
7 sept 2019,mobile,62
