Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
7 mar 2019,71,15,18,1.2777777777777777,23
8 mar 2019,114,6,12,1.3333333333333333,16
9 mar 2019,65,6,10,1.3,13
10 mar 2019,58,9,14,1.0714285714285714,15
11 mar 2019,165,14,22,1.1363636363636365,25
12 mar 2019,146,14,23,1.2173913043478262,28
13 mar 2019,103,17,26,1.1538461538461537,30
14 mar 2019,93,12,17,1.2352941176470589,21
15 mar 2019,129,13,21,1.3333333333333333,28
16 mar 2019,14,6,10,1,10
17 mar 2019,44,6,8,1.125,9
18 mar 2019,84,21,24,1.0416666666666667,25
19 mar 2019,102,56,59,1.0677966101694916,63
20 mar 2019,159,22,35,1.0857142857142856,38
21 mar 2019,265,41,48,1.1041666666666667,53
22 mar 2019,276,29,37,1.3513513513513513,50
23 mar 2019,28,12,14,1,14
24 mar 2019,98,16,21,1.1428571428571428,24
25 mar 2019,186,17,25,1.08,27
26 mar 2019,248,31,37,1.1081081081081081,41
27 mar 2019,105,23,29,1.1724137931034482,34
28 mar 2019,190,42,49,1.1224489795918366,55
29 mar 2019,159,24,34,1.2058823529411764,41
30 mar 2019,54,11,13,1.0769230769230769,14
31 mar 2019,50,10,11,1,11
1 abr 2019,183,23,37,1.135135135135135,42
2 abr 2019,97,17,29,1.0689655172413792,31
3 abr 2019,309,34,45,1.2,54
4 abr 2019,176,42,52,1.0961538461538463,57
5 abr 2019,383,17,24,1.4166666666666667,34
6 abr 2019,85,14,20,1.1,22
7 abr 2019,84,17,24,1.0833333333333333,26
8 abr 2019,115,26,34,1.1470588235294117,39
9 abr 2019,239,53,65,1.2307692307692308,80
10 abr 2019,156,32,43,1.2790697674418605,55
11 abr 2019,208,40,48,1.0833333333333333,52
12 abr 2019,209,29,41,1.2682926829268293,52
13 abr 2019,94,14,18,1.1111111111111112,20
14 abr 2019,77,5,8,1,8
15 abr 2019,186,18,31,1.032258064516129,32
16 abr 2019,133,20,27,1.0740740740740742,29
17 abr 2019,111,19,25,1.16,29
18 abr 2019,48,4,8,1.5,12
19 abr 2019,111,8,9,1.2222222222222223,11
20 abr 2019,46,5,9,1.4444444444444444,13
21 abr 2019,52,11,14,1.1428571428571428,16
22 abr 2019,234,25,37,1.2432432432432432,46
23 abr 2019,158,41,58,1.1206896551724137,65
24 abr 2019,107,14,27,1.2592592592592593,34
25 abr 2019,98,22,33,1.2121212121212122,40
26 abr 2019,111,16,22,1.1363636363636365,25
27 abr 2019,57,12,17,1.0588235294117647,18
28 abr 2019,108,21,25,1.12,28
29 abr 2019,135,26,34,1.2352941176470589,42
30 abr 2019,89,17,22,1.2727272727272727,28
1 may 2019,40,11,15,1.2666666666666666,19
2 may 2019,162,23,42,1.1428571428571428,48
3 may 2019,211,14,32,1.34375,43
4 may 2019,63,21,24,1,24
5 may 2019,70,15,19,1.263157894736842,24
6 may 2019,265,16,30,1.5,45
7 may 2019,150,36,45,1.2444444444444445,56
8 may 2019,148,25,34,1.2647058823529411,43
9 may 2019,122,29,37,1.162162162162162,43
10 may 2019,133,18,30,1.1,33
11 may 2019,121,20,23,1.173913043478261,27
12 may 2019,98,20,25,1.08,27
13 may 2019,115,17,28,1.2142857142857142,34
14 may 2019,102,21,33,1.0909090909090908,36
15 may 2019,176,22,28,1.1785714285714286,33
16 may 2019,129,16,23,1.1304347826086956,26
17 may 2019,169,12,25,1.28,32
18 may 2019,50,8,14,1.1428571428571428,16
19 may 2019,121,13,17,1.1176470588235294,19
20 may 2019,76,14,20,1.3,26
21 may 2019,216,23,36,1.1944444444444444,43
22 may 2019,116,31,36,1.1944444444444444,43
23 may 2019,89,11,19,1.368421052631579,26
24 may 2019,89,19,25,1.16,29
25 may 2019,38,10,14,1,14
26 may 2019,66,7,9,1.4444444444444444,13
27 may 2019,119,14,24,1.2916666666666667,31
28 may 2019,117,22,29,1.2758620689655173,37
29 may 2019,182,28,35,1.2571428571428571,44
30 may 2019,109,17,28,1.1428571428571428,32
