,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
104,20 ene 2019,33,5,5,1.2,6,17,16,12,16,5,11.0,4.546060565661952,0,16,0,6,11,0,0,0,0,3.3,5.514526271584893,0,33,0,0,8.25,14.289419162443238
105,21 ene 2019,21,4,4,1.0,4,2,19,21,0,0,7.0,9.899494936611664,0,0,0,21,0,0,0,0,0,2.1,6.300000000000002,1,20,0,0,5.25,8.525696452489967
106,22 ene 2019,8,1,2,1.0,2,7,1,8,0,0,2.6666666666666665,3.771236166328253,0,0,0,7,1,0,0,0,0,0.8,2.08806130178211,1,7,0,0,2.0,2.9154759474226504
107,23 ene 2019,8,4,4,1.0,4,8,0,6,2,0,2.6666666666666665,2.494438257849294,0,2,0,6,0,0,0,0,0,0.8,1.833030277982336,1,7,0,0,2.0,2.9154759474226504
108,24 ene 2019,77,13,13,1.0,13,49,28,46,31,0,25.66666666666667,19.154343864744856,0,31,0,46,0,0,0,0,0,7.7,15.761027885261795,20,56,1,0,19.25,22.664675157610354
109,25 ene 2019,87,6,8,1.5,12,83,4,39,48,0,29.0,20.83266665599966,0,48,0,38,1,0,0,0,0,8.7,17.29768770674277,1,86,0,0,21.75,37.09700122651425
110,26 ene 2019,16,3,4,1.0,4,15,1,3,13,0,5.333333333333333,5.557777333511021,0,13,0,3,0,0,0,0,0,1.6,3.9038442591886273,0,16,0,0,4.0,6.92820323027551
111,27 ene 2019,1,1,1,1.0,1,0,1,1,0,0,0.3333333333333333,0.4714045207910317,0,0,0,1,0,0,0,0,0,0.1,0.30000000000000004,0,0,0,1,0.25,0.4330127018922193
112,28 ene 2019,23,4,4,1.0,4,23,0,15,8,0,7.666666666666668,6.128258770283412,0,8,0,15,0,0,0,0,0,2.3,4.8590122453025355,3,20,0,0,5.75,8.317902379807062
113,29 ene 2019,60,3,4,1.0,4,60,0,60,0,0,20.0,28.284271247461906,0,0,0,60,0,0,0,0,0,6.0,18.0,0,40,0,20,15.0,16.583123951777
