Fecha,Sistema operativo,Vistas
8 feb 2023,Android,39
8 feb 2023,Linux,2
8 feb 2023,iOS,1
8 feb 2023,Macintosh,0
9 feb 2023,Windows,162
9 feb 2023,Android,31
9 feb 2023,Linux,1
10 feb 2023,Windows,67
10 feb 2023,Android,15
10 feb 2023,Linux,5
10 feb 2023,Macintosh,1
11 feb 2023,Windows,5
11 feb 2023,Android,3
11 feb 2023,Macintosh,1
11 feb 2023,iOS,1
12 feb 2023,Windows,11
12 feb 2023,Android,5
12 feb 2023,Macintosh,0
13 feb 2023,Windows,63
13 feb 2023,Linux,27
13 feb 2023,Android,22
13 feb 2023,Macintosh,0
14 feb 2023,Windows,56
14 feb 2023,Linux,21
14 feb 2023,Android,16
14 feb 2023,Macintosh,2
15 feb 2023,Windows,343
15 feb 2023,Linux,76
15 feb 2023,Android,34
15 feb 2023,Macintosh,0
16 feb 2023,Linux,110
16 feb 2023,Windows,110
16 feb 2023,Android,43
16 feb 2023,Macintosh,11
16 feb 2023,iOS,2
17 feb 2023,Windows,82
17 feb 2023,Android,4
17 feb 2023,iOS,2
17 feb 2023,Chrome OS,1
17 feb 2023,Linux,1
18 feb 2023,Android,19
18 feb 2023,Windows,8
18 feb 2023,Macintosh,1
19 feb 2023,Android,106
19 feb 2023,Windows,15
20 feb 2023,Android,23
20 feb 2023,Windows,23
21 feb 2023,Windows,49
21 feb 2023,Android,16
21 feb 2023,Macintosh,2
22 feb 2023,Windows,349
22 feb 2023,Android,26
22 feb 2023,Linux,3
22 feb 2023,iOS,2
22 feb 2023,Macintosh,1
23 feb 2023,Windows,109
23 feb 2023,Android,76
23 feb 2023,Macintosh,9
23 feb 2023,iOS,8
23 feb 2023,Linux,1
24 feb 2023,Windows,99
24 feb 2023,Android,24
24 feb 2023,iOS,1
25 feb 2023,Android,28
25 feb 2023,Windows,13
25 feb 2023,Macintosh,1
25 feb 2023,iOS,1
26 feb 2023,Android,10
26 feb 2023,Windows,10
26 feb 2023,iOS,3
26 feb 2023,Macintosh,1
27 feb 2023,Windows,124
27 feb 2023,Android,16
27 feb 2023,Linux,3
27 feb 2023,iOS,1
28 feb 2023,Windows,258
28 feb 2023,Android,91
28 feb 2023,iOS,3
28 feb 2023,Linux,2
1 mar 2023,Windows,180
1 mar 2023,Android,103
1 mar 2023,Macintosh,1
1 mar 2023,iOS,1
1 mar 2023,Linux,0
2 mar 2023,Windows,169
2 mar 2023,Android,79
2 mar 2023,iOS,1
2 mar 2023,Linux,0
3 mar 2023,Windows,31
3 mar 2023,Android,29
3 mar 2023,Macintosh,1
3 mar 2023,iOS,1
3 mar 2023,Linux,0
4 mar 2023,Windows,47
4 mar 2023,Android,8
4 mar 2023,Chrome OS,4
4 mar 2023,Linux,4
4 mar 2023,Macintosh,4
4 mar 2023,iOS,1
5 mar 2023,Android,30
5 mar 2023,Macintosh,10
