,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
1406,2 jul 2022,26,15,16,20,12,12,6,3,4,0.0,0.0,0.0,0.0,0.0
1407,3 jul 2022,21,11,11,10,5,5,11,6,6,0.0,0.0,0.0,0.0,0.0
1408,4 jul 2022,146,9,20,5,2,3,141,7,17,0.0,0.0,0.0,0.0,0.0
1409,5 jul 2022,22,8,12,4,4,4,17,3,7,1.0,1.0,0.0,0.0,1.0
1410,6 jul 2022,13,10,12,6,5,6,7,5,6,0.0,0.0,0.0,0.0,0.0
1411,7 jul 2022,110,63,77,47,27,36,62,35,40,1.0,1.0,0.0,0.0,1.0
1412,8 jul 2022,26,11,18,9,4,6,17,7,12,0.0,0.0,0.0,0.0,0.0
1413,9 jul 2022,5,3,5,2,1,2,3,2,3,0.0,0.0,0.0,0.0,0.0
1414,10 jul 2022,7,3,3,6,2,2,1,1,1,0.0,0.0,0.0,0.0,0.0
1415,11 jul 2022,1,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
1416,12 jul 2022,18,10,10,5,4,4,13,6,6,0.0,0.0,0.0,0.0,0.0
1417,13 jul 2022,15,8,9,9,5,6,6,3,3,0.0,0.0,0.0,0.0,0.0
1418,14 jul 2022,5,3,5,4,2,4,1,1,1,0.0,0.0,0.0,0.0,0.0
1419,15 jul 2022,3,3,3,1,1,1,2,2,2,0.0,0.0,0.0,0.0,0.0
1420,16 jul 2022,4,3,4,0,0,0,4,3,4,0.0,0.0,0.0,0.0,0.0
1421,17 jul 2022,10,7,8,3,3,3,7,4,5,0.0,0.0,0.0,0.0,0.0
1422,18 jul 2022,16,4,4,8,2,2,8,2,2,0.0,0.0,0.0,0.0,0.0
1423,19 jul 2022,7,2,4,4,2,3,3,0,1,0.0,0.0,0.0,0.0,0.0
1424,20 jul 2022,14,8,9,8,3,4,6,5,5,0.0,0.0,0.0,0.0,0.0
1425,21 jul 2022,7,7,7,5,5,5,2,2,2,0.0,0.0,0.0,0.0,0.0
1426,22 jul 2022,13,10,11,3,2,2,10,8,9,0.0,0.0,0.0,0.0,0.0
1427,23 jul 2022,16,8,8,10,5,5,6,3,3,0.0,0.0,0.0,0.0,0.0
1428,24 jul 2022,3,3,3,1,1,1,2,2,2,0.0,0.0,0.0,0.0,0.0
1429,25 jul 2022,12,6,7,6,2,3,6,4,4,0.0,0.0,0.0,0.0,0.0
1430,26 jul 2022,3,3,3,1,1,1,2,2,2,0.0,0.0,0.0,0.0,0.0
1431,27 jul 2022,17,7,12,3,2,3,14,5,9,0.0,0.0,0.0,0.0,0.0
1432,28 jul 2022,50,16,19,39,12,14,11,4,5,0.0,0.0,0.0,0.0,0.0
1433,29 jul 2022,10,8,9,4,4,4,6,4,5,0.0,0.0,0.0,0.0,0.0
1434,30 jul 2022,5,4,4,2,1,1,3,3,3,0.0,0.0,0.0,0.0,0.0
1435,31 jul 2022,4,4,4,3,3,3,1,1,1,0.0,0.0,0.0,0.0,0.0
1436,1 ago 2022,35,13,20,28,8,15,7,5,5,0.0,0.0,0.0,0.0,0.0
1437,2 ago 2022,36,12,25,25,9,18,11,3,7,0.0,0.0,0.0,0.0,0.0
1438,3 ago 2022,67,21,40,46,14,26,21,7,14,0.0,0.0,0.0,0.0,0.0
1439,4 ago 2022,40,19,24,14,8,9,26,11,15,0.0,0.0,0.0,0.0,0.0
1440,5 ago 2022,19,15,15,9,6,6,10,9,9,0.0,0.0,0.0,0.0,0.0
1441,6 ago 2022,9,7,7,1,1,1,8,6,6,0.0,0.0,0.0,0.0,0.0
1442,7 ago 2022,7,4,5,6,3,4,1,1,1,0.0,0.0,0.0,0.0,0.0
1443,8 ago 2022,79,13,24,31,8,10,48,5,14,0.0,0.0,0.0,0.0,0.0
1444,9 ago 2022,58,18,24,6,3,5,52,15,19,0.0,0.0,0.0,0.0,0.0
1445,10 ago 2022,96,37,48,80,31,39,16,6,9,0.0,0.0,0.0,0.0,0.0
