Fecha,País,Número de vistas de página
12 jun 2019,South Korea,1
13 jun 2019,Hong Kong,1
13 jun 2019,Argentina,647
13 jun 2019,Brazil,2
14 jun 2019,Argentina,33
14 jun 2019,Canada,7
14 jun 2019,South Korea,1
14 jun 2019,United States,9
15 jun 2019,Argentina,50
15 jun 2019,United States,2
16 jun 2019,Argentina,10
17 jun 2019,United States,1
17 jun 2019,Argentina,93
18 jun 2019,South Korea,1
18 jun 2019,Brazil,11
18 jun 2019,Argentina,89
19 jun 2019,South Korea,1
19 jun 2019,Argentina,40
19 jun 2019,United States,2
20 jun 2019,Argentina,12
21 jun 2019,Argentina,85
21 jun 2019,Mexico,5
21 jun 2019,South Korea,1
21 jun 2019,Bolivia,2
22 jun 2019,Argentina,38
23 jun 2019,Argentina,11
23 jun 2019,Brazil,3
24 jun 2019,Nicaragua,2
24 jun 2019,Argentina,27
25 jun 2019,Mexico,2
25 jun 2019,Colombia,1
25 jun 2019,South Korea,1
25 jun 2019,Brazil,2
25 jun 2019,Argentina,57
26 jun 2019,Argentina,102
27 jun 2019,Paraguay,2
27 jun 2019,Argentina,48
28 jun 2019,South Korea,1
28 jun 2019,Argentina,70
29 jun 2019,Argentina,15
29 jun 2019,Mexico,1
29 jun 2019,Paraguay,3
30 jun 2019,Argentina,9
30 jun 2019,United States,8
30 jun 2019,Mexico,1
1 jul 2019,Spain,1
1 jul 2019,(not set),1
1 jul 2019,Argentina,52
2 jul 2019,Singapore,1
2 jul 2019,Argentina,54
3 jul 2019,Brazil,2
3 jul 2019,China,1
3 jul 2019,Argentina,72
4 jul 2019,South Korea,1
4 jul 2019,Brazil,2
4 jul 2019,United States,1
4 jul 2019,Colombia,4
4 jul 2019,Mexico,1
4 jul 2019,Argentina,37
4 jul 2019,Paraguay,2
4 jul 2019,Uruguay,2
5 jul 2019,Brazil,4
5 jul 2019,Argentina,34
5 jul 2019,South Korea,1
6 jul 2019,Brazil,1
6 jul 2019,Argentina,20
7 jul 2019,United Arab Emirates,1
7 jul 2019,Paraguay,2
7 jul 2019,Argentina,11
8 jul 2019,Argentina,8
8 jul 2019,Brazil,1
9 jul 2019,South Korea,1
9 jul 2019,Argentina,12
10 jul 2019,Argentina,26
11 jul 2019,France,1
11 jul 2019,Brazil,3
11 jul 2019,Argentina,21
12 jul 2019,South Korea,2
12 jul 2019,Argentina,16
12 jul 2019,United States,1
12 jul 2019,Brazil,1
12 jul 2019,Mexico,1
13 jul 2019,Brazil,2
13 jul 2019,Argentina,20
14 jul 2019,United States,1
14 jul 2019,Argentina,16
15 jul 2019,Argentina,9
15 jul 2019,United States,1
16 jul 2019,Australia,2
16 jul 2019,South Korea,1
16 jul 2019,Argentina,15
17 jul 2019,Philippines,3
17 jul 2019,Ireland,1
17 jul 2019,Puerto Rico,2
17 jul 2019,Kenya,2
17 jul 2019,France,1
17 jul 2019,Argentina,23
18 jul 2019,Argentina,25
19 jul 2019,United States,1
19 jul 2019,Argentina,12
19 jul 2019,South Korea,1
20 jul 2019,South Korea,1
21 jul 2019,Argentina,2
22 jul 2019,Brazil,2
22 jul 2019,Argentina,23
23 jul 2019,Bolivia,1
23 jul 2019,Argentina,31
24 jul 2019,China,1
24 jul 2019,Argentina,27
24 jul 2019,Brazil,4
25 jul 2019,Peru,1
25 jul 2019,Argentina,38
25 jul 2019,Mexico,1
26 jul 2019,South Korea,1
26 jul 2019,United States,8
26 jul 2019,Hong Kong,1
26 jul 2019,Argentina,45
27 jul 2019,Argentina,9
27 jul 2019,Mexico,3
28 jul 2019,Argentina,5
29 jul 2019,Hong Kong,1
29 jul 2019,Argentina,17
30 jul 2019,Paraguay,4
30 jul 2019,Argentina,43
31 jul 2019,South Korea,1
31 jul 2019,Argentina,38
1 ago 2019,(not set),1
1 ago 2019,Argentina,28
2 ago 2019,Argentina,51
2 ago 2019,South Korea,1
2 ago 2019,France,1
2 ago 2019,Honduras,6
3 ago 2019,Argentina,9
4 ago 2019,Paraguay,3
4 ago 2019,Brazil,1
4 ago 2019,Argentina,17
5 ago 2019,Argentina,24
6 ago 2019,Argentina,43
7 ago 2019,United States,1
7 ago 2019,Hong Kong,3
7 ago 2019,Argentina,25
8 ago 2019,Paraguay,6
8 ago 2019,Argentina,54
8 ago 2019,France,2
9 ago 2019,Argentina,24
10 ago 2019,Paraguay,2
10 ago 2019,Argentina,26
11 ago 2019,Argentina,17
11 ago 2019,Colombia,1
12 ago 2019,Argentina,13
13 ago 2019,Argentina,43
13 ago 2019,Paraguay,1
13 ago 2019,(not set),1
14 ago 2019,Argentina,77
14 ago 2019,South Korea,1
15 ago 2019,United States,1
15 ago 2019,Argentina,25
16 ago 2019,South Korea,1
16 ago 2019,Argentina,47
17 ago 2019,El Salvador,2
17 ago 2019,Argentina,36
17 ago 2019,Panama,12
17 ago 2019,United States,1
18 ago 2019,Argentina,2
19 ago 2019,Argentina,30
19 ago 2019,United States,7
20 ago 2019,Argentina,49
20 ago 2019,United States,1
21 ago 2019,Argentina,43
21 ago 2019,South Korea,1
21 ago 2019,United States,2
22 ago 2019,Uruguay,1
22 ago 2019,Argentina,24
23 ago 2019,Argentina,72
23 ago 2019,France,2
24 ago 2019,Chile,1
24 ago 2019,Colombia,1
24 ago 2019,Argentina,17
25 ago 2019,United States,5
25 ago 2019,Argentina,4
26 ago 2019,United States,1
26 ago 2019,Argentina,43
27 ago 2019,Argentina,103
28 ago 2019,United States,1
28 ago 2019,Brazil,1
28 ago 2019,India,3
28 ago 2019,Argentina,122
28 ago 2019,South Korea,1
29 ago 2019,Argentina,41
30 ago 2019,South Korea,1
30 ago 2019,Germany,1
30 ago 2019,Spain,4
30 ago 2019,Argentina,78
31 ago 2019,Argentina,29
31 ago 2019,United States,1
31 ago 2019,India,1
1 sept 2019,United States,1
1 sept 2019,Argentina,6
2 sept 2019,United States,1
2 sept 2019,Panama,1
2 sept 2019,Argentina,28
3 sept 2019,Argentina,23
4 sept 2019,Argentina,87
4 sept 2019,South Korea,1
4 sept 2019,Spain,1
4 sept 2019,Chile,2
4 sept 2019,United States,1
5 sept 2019,Argentina,31
5 sept 2019,Germany,1
6 sept 2019,Peru,2
6 sept 2019,Argentina,41
6 sept 2019,South Korea,1
6 sept 2019,Canada,2
7 sept 2019,Argentina,21
8 sept 2019,Argentina,12
9 sept 2019,Argentina,56
10 sept 2019,Uruguay,1
10 sept 2019,United States,1
10 sept 2019,Brazil,1
10 sept 2019,Argentina,25
11 sept 2019,United States,1
11 sept 2019,Argentina,63
11 sept 2019,South Korea,1
12 sept 2019,Argentina,33
12 sept 2019,Spain,2
12 sept 2019,Israel,1
13 sept 2019,Argentina,25
13 sept 2019,United States,1
14 sept 2019,Argentina,34
15 sept 2019,Argentina,8
16 sept 2019,United States,1
16 sept 2019,Argentina,103
16 sept 2019,Mexico,3
16 sept 2019,Spain,10
17 sept 2019,United States,1
17 sept 2019,Argentina,281
17 sept 2019,Spain,1
18 sept 2019,South Korea,1
18 sept 2019,Argentina,96
19 sept 2019,Argentina,123
19 sept 2019,Mexico,10
19 sept 2019,Brazil,1
19 sept 2019,Costa Rica,1
20 sept 2019,United States,6
20 sept 2019,Singapore,11
20 sept 2019,Chile,31
20 sept 2019,France,1
20 sept 2019,Argentina,314
20 sept 2019,South Korea,1
20 sept 2019,Panama,1
20 sept 2019,Mexico,11
20 sept 2019,Paraguay,2
20 sept 2019,Peru,41
21 sept 2019,Costa Rica,15
21 sept 2019,Mexico,25
21 sept 2019,Chile,24
21 sept 2019,Singapore,1
21 sept 2019,Brazil,1
21 sept 2019,United States,6
21 sept 2019,France,1
21 sept 2019,Argentina,320
21 sept 2019,Peru,43
22 sept 2019,Argentina,269
22 sept 2019,Mexico,18
22 sept 2019,Peru,19
22 sept 2019,Brazil,5
22 sept 2019,Chile,96
22 sept 2019,Singapore,1
22 sept 2019,Costa Rica,24
23 sept 2019,United States,4
23 sept 2019,Costa Rica,7
23 sept 2019,Mexico,19
23 sept 2019,Brazil,4
23 sept 2019,Chile,114
23 sept 2019,Singapore,1
23 sept 2019,(not set),8
