Fecha,Agrupación de canales predeterminada,Número de vistas de página
20 mar 2019,Social,1
20 mar 2019,Direct,14
21 mar 2019,Organic Search,28
21 mar 2019,Social,4
21 mar 2019,Direct,3
22 mar 2019,Organic Search,13
22 mar 2019,Social,5
22 mar 2019,Direct,7
23 mar 2019,Organic Search,4
23 mar 2019,Direct,14
24 mar 2019,Organic Search,22
24 mar 2019,Direct,2
25 mar 2019,Direct,53
25 mar 2019,Organic Search,5
25 mar 2019,Social,10
26 mar 2019,Organic Search,223
26 mar 2019,Direct,21
26 mar 2019,Referral,1
27 mar 2019,Direct,9
27 mar 2019,Organic Search,48
28 mar 2019,Direct,10
28 mar 2019,Organic Search,103
28 mar 2019,Social,5
28 mar 2019,Referral,1
29 mar 2019,Direct,25
29 mar 2019,Referral,1
29 mar 2019,Organic Search,10
29 mar 2019,Social,8
30 mar 2019,Direct,3
30 mar 2019,Organic Search,3
30 mar 2019,Social,1
31 mar 2019,Direct,4
31 mar 2019,Organic Search,13
1 abr 2019,Organic Search,5
1 abr 2019,Direct,6
1 abr 2019,Referral,2
2 abr 2019,Social,1
2 abr 2019,Direct,8
2 abr 2019,Organic Search,5
3 abr 2019,Direct,5
3 abr 2019,Referral,1
3 abr 2019,Social,7
3 abr 2019,Organic Search,14
4 abr 2019,Organic Search,7
4 abr 2019,Direct,6
4 abr 2019,Referral,1
4 abr 2019,Social,1
5 abr 2019,Social,1
5 abr 2019,Referral,1
5 abr 2019,Direct,3
5 abr 2019,Organic Search,8
6 abr 2019,Social,2
6 abr 2019,Organic Search,1
6 abr 2019,Direct,29
7 abr 2019,Social,11
7 abr 2019,Organic Search,18
7 abr 2019,Direct,10
8 abr 2019,Organic Search,21
8 abr 2019,Direct,1
8 abr 2019,Referral,1
9 abr 2019,Direct,13
9 abr 2019,Organic Search,19
9 abr 2019,Referral,1
10 abr 2019,Organic Search,28
10 abr 2019,Direct,16
10 abr 2019,Referral,2
11 abr 2019,Direct,8
11 abr 2019,Organic Search,19
12 abr 2019,Social,10
12 abr 2019,Direct,12
12 abr 2019,Organic Search,19
13 abr 2019,Referral,1
13 abr 2019,Organic Search,9
13 abr 2019,Direct,11
13 abr 2019,Social,2
14 abr 2019,Direct,8
14 abr 2019,Organic Search,5
14 abr 2019,Social,5
15 abr 2019,Direct,21
15 abr 2019,Organic Search,7
16 abr 2019,Organic Search,30
16 abr 2019,Social,3
16 abr 2019,Direct,18
17 abr 2019,Direct,4
17 abr 2019,Organic Search,5
18 abr 2019,Direct,2
19 abr 2019,Direct,9
19 abr 2019,Organic Search,27
19 abr 2019,Social,1
20 abr 2019,Referral,3
20 abr 2019,Social,1
20 abr 2019,Direct,10
20 abr 2019,Organic Search,1
21 abr 2019,Organic Search,11
21 abr 2019,Social,5
21 abr 2019,Direct,6
22 abr 2019,Direct,10
22 abr 2019,Referral,1
22 abr 2019,Organic Search,17
23 abr 2019,Organic Search,21
23 abr 2019,Direct,9
24 abr 2019,Direct,25
24 abr 2019,Organic Search,37
25 abr 2019,Organic Search,21
25 abr 2019,Social,2
25 abr 2019,Direct,3
26 abr 2019,Direct,17
26 abr 2019,Organic Search,23
27 abr 2019,Organic Search,20
27 abr 2019,Social,1
27 abr 2019,Direct,1
28 abr 2019,Direct,7
28 abr 2019,Organic Search,19
29 abr 2019,Direct,8
29 abr 2019,Organic Search,14
30 abr 2019,Organic Search,33
30 abr 2019,Direct,9
1 may 2019,Organic Search,2
1 may 2019,Social,4
1 may 2019,Direct,11
2 may 2019,Direct,12
2 may 2019,Organic Search,48
3 may 2019,Social,1
3 may 2019,Organic Search,17
3 may 2019,Direct,1
4 may 2019,Organic Search,30
4 may 2019,Direct,2
5 may 2019,Organic Search,9
5 may 2019,Social,1
5 may 2019,Direct,3
6 may 2019,Organic Search,23
6 may 2019,Direct,14
7 may 2019,Social,8
7 may 2019,Organic Search,30
7 may 2019,Direct,9
8 may 2019,Referral,1
8 may 2019,Organic Search,177
8 may 2019,Direct,51
8 may 2019,Social,5
9 may 2019,Referral,3
9 may 2019,Social,5
9 may 2019,Direct,19
9 may 2019,Organic Search,108
10 may 2019,Direct,30
10 may 2019,Organic Search,134
10 may 2019,Social,10
11 may 2019,Direct,10
11 may 2019,Organic Search,6
11 may 2019,Social,5
12 may 2019,Organic Search,16
12 may 2019,Direct,17
12 may 2019,Social,3
13 may 2019,Organic Search,35
13 may 2019,Direct,14
14 may 2019,Organic Search,23
14 may 2019,Direct,33
15 may 2019,Direct,3
15 may 2019,Organic Search,15
16 may 2019,Referral,1
16 may 2019,Organic Search,25
16 may 2019,Social,1
16 may 2019,Direct,11
17 may 2019,Organic Search,58
17 may 2019,Direct,10
