Fecha,Grupo de canales predeterminado de la sesión,Vistas
13 may 2023,Referral,15
13 may 2023,Organic Social,25
13 may 2023,Direct,15
13 may 2023,Organic Search,45
14 may 2023,Organic Search,20
14 may 2023,Direct,10
14 may 2023,Organic Social,7
14 may 2023,Referral,1
15 may 2023,Organic Search,23
15 may 2023,Direct,9
15 may 2023,Organic Social,4
16 may 2023,Unassigned,1
16 may 2023,Direct,33
16 may 2023,Organic Social,28
16 may 2023,Organic Search,43
17 may 2023,Organic Search,34
17 may 2023,Direct,29
17 may 2023,Organic Social,9
18 may 2023,Organic Search,70
18 may 2023,Direct,37
18 may 2023,Organic Social,1
19 may 2023,Organic Search,42
19 may 2023,Direct,18
19 may 2023,Organic Social,10
20 may 2023,Direct,67
20 may 2023,Organic Search,20
20 may 2023,Organic Social,14
20 may 2023,Referral,8
21 may 2023,Direct,8
21 may 2023,Organic Search,30
21 may 2023,Referral,1
22 may 2023,Direct,42
22 may 2023,Organic Search,22
22 may 2023,Referral,1
22 may 2023,Unassigned,0
23 may 2023,Organic Social,30
23 may 2023,Organic Search,26
23 may 2023,Direct,19
23 may 2023,Referral,2
23 may 2023,Unassigned,1
24 may 2023,Organic Search,34
24 may 2023,Direct,23
24 may 2023,Organic Social,5
25 may 2023,Organic Search,17
25 may 2023,Direct,13
25 may 2023,Organic Social,8
25 may 2023,Organic Video,2
26 may 2023,Organic Search,9
29 may 2023,Direct,28
29 may 2023,Organic Search,21
29 may 2023,Unassigned,1
30 may 2023,Direct,31
30 may 2023,Organic Search,24
30 may 2023,Organic Social,7
31 may 2023,Organic Search,25
31 may 2023,Direct,12
1 jun 2023,Direct,42
1 jun 2023,Organic Search,35
1 jun 2023,Organic Social,1
2 jun 2023,Organic Search,38
2 jun 2023,Direct,12
2 jun 2023,Organic Social,5
2 jun 2023,Referral,1
3 jun 2023,Direct,61
