Fecha,Categoría de dispositivo,Vistas
13 oct 2023,desktop,6
14 oct 2023,mobile,51
14 oct 2023,desktop,11
15 oct 2023,mobile,23
15 oct 2023,desktop,5
16 oct 2023,mobile,18
16 oct 2023,desktop,2
17 oct 2023,mobile,32
17 oct 2023,desktop,10
18 oct 2023,mobile,45
18 oct 2023,desktop,17
19 oct 2023,mobile,45
19 oct 2023,desktop,34
20 oct 2023,mobile,18
20 oct 2023,desktop,15
20 oct 2023,tablet,1
21 oct 2023,mobile,74
21 oct 2023,desktop,5
22 oct 2023,mobile,30
22 oct 2023,desktop,4
23 oct 2023,mobile,33
23 oct 2023,desktop,21
24 oct 2023,mobile,32
24 oct 2023,desktop,25
24 oct 2023,tablet,1
25 oct 2023,mobile,70
25 oct 2023,desktop,20
26 oct 2023,mobile,54
26 oct 2023,desktop,30
27 oct 2023,desktop,15
27 oct 2023,mobile,15
28 oct 2023,mobile,54
28 oct 2023,desktop,26
29 oct 2023,mobile,24
