Fecha,Categoría de dispositivo,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
20 mar 2019,desktop,26,10,0,0,15
21 mar 2019,mobile,17,5,0,0,7
21 mar 2019,desktop,18,7,0,0,11
22 mar 2019,desktop,15,5,0,0,13
22 mar 2019,mobile,10,5,0,0,6
23 mar 2019,mobile,4,2,0,0,4
23 mar 2019,desktop,14,12,0,0,14
24 mar 2019,desktop,2,0,0,0,2
24 mar 2019,mobile,22,5,0,0,7
25 mar 2019,desktop,26,14,0,0,16
25 mar 2019,mobile,42,18,0,0,21
26 mar 2019,mobile,22,12,0,0,15
26 mar 2019,desktop,223,11,0,0,21
27 mar 2019,mobile,13,5,0,0,7
27 mar 2019,desktop,44,7,0,0,15
28 mar 2019,desktop,105,7,0,0,13
28 mar 2019,mobile,14,6,0,0,7
29 mar 2019,mobile,32,14,0,0,17
29 mar 2019,desktop,12,6,0,0,9
30 mar 2019,mobile,2,2,0,0,2
30 mar 2019,desktop,5,2,0,0,4
31 mar 2019,desktop,13,5,0,0,5
31 mar 2019,mobile,4,1,0,0,3
1 abr 2019,mobile,8,4,0,0,8
1 abr 2019,desktop,5,2,0,0,4
2 abr 2019,mobile,6,5,0,0,6
2 abr 2019,desktop,8,2,0,0,6
3 abr 2019,desktop,13,4,0,0,10
3 abr 2019,mobile,14,6,0,0,8
4 abr 2019,desktop,10,6,0,0,8
4 abr 2019,mobile,5,4,0,0,5
5 abr 2019,mobile,4,3,0,0,3
5 abr 2019,desktop,9,2,0,0,6
6 abr 2019,desktop,6,5,0,0,5
6 abr 2019,mobile,26,7,0,0,7
7 abr 2019,desktop,21,6,0,0,7
7 abr 2019,mobile,18,7,0,0,8
8 abr 2019,desktop,17,5,0,0,12
8 abr 2019,mobile,6,2,0,0,3
9 abr 2019,desktop,29,16,0,0,24
9 abr 2019,mobile,4,3,0,0,4
10 abr 2019,mobile,21,4,0,0,8
10 abr 2019,desktop,25,8,0,0,16
11 abr 2019,mobile,8,2,0,0,4
11 abr 2019,desktop,19,5,0,0,11
12 abr 2019,mobile,12,7,0,0,9
12 abr 2019,desktop,29,8,0,0,13
13 abr 2019,mobile,16,4,0,0,7
13 abr 2019,desktop,7,5,0,0,6
14 abr 2019,desktop,7,5,0,0,7
14 abr 2019,mobile,11,7,0,0,7
15 abr 2019,mobile,14,4,0,0,7
15 abr 2019,desktop,14,6,0,0,8
16 abr 2019,mobile,6,3,0,0,4
16 abr 2019,desktop,45,23,0,0,28
17 abr 2019,mobile,2,2,0,0,2
17 abr 2019,desktop,7,4,0,0,6
18 abr 2019,mobile,1,0,0,0,1
18 abr 2019,desktop,1,1,0,0,1
19 abr 2019,desktop,4,2,0,0,3
19 abr 2019,mobile,33,6,0,0,8
20 abr 2019,mobile,3,1,0,0,2
20 abr 2019,desktop,12,8,0,0,10
21 abr 2019,mobile,12,4,0,0,7
21 abr 2019,desktop,10,3,0,0,6
22 abr 2019,desktop,9,4,0,0,8
22 abr 2019,mobile,19,6,0,0,9
23 abr 2019,desktop,19,6,0,0,13
23 abr 2019,mobile,11,5,0,0,9
24 abr 2019,desktop,31,8,0,0,14
24 abr 2019,mobile,31,6,0,0,9
25 abr 2019,mobile,17,7,0,0,8
25 abr 2019,desktop,9,3,0,0,5
26 abr 2019,desktop,29,9,0,0,13
26 abr 2019,mobile,11,2,0,0,4
27 abr 2019,tablet,1,1,0,0,1
27 abr 2019,desktop,21,5,0,0,9
28 abr 2019,desktop,17,4,0,0,5
28 abr 2019,mobile,9,4,0,0,7
29 abr 2019,mobile,5,5,0,0,5
29 abr 2019,desktop,17,2,0,0,7
30 abr 2019,desktop,40,4,0,0,9
30 abr 2019,mobile,2,0,0,0,2
1 may 2019,desktop,2,2,0,0,2
1 may 2019,mobile,15,2,0,0,6
2 may 2019,desktop,25,5,0,0,13
2 may 2019,mobile,35,6,0,0,11
3 may 2019,desktop,9,5,0,0,6
3 may 2019,mobile,10,2,0,0,5
4 may 2019,mobile,3,1,0,0,3
4 may 2019,desktop,29,3,0,0,4
5 may 2019,mobile,4,1,0,0,3
5 may 2019,desktop,9,5,0,0,5
6 may 2019,desktop,33,9,0,0,13
6 may 2019,mobile,4,1,0,0,4
7 may 2019,mobile,12,5,0,0,8
7 may 2019,desktop,35,11,0,0,16
8 may 2019,mobile,68,18,0,0,23
8 may 2019,desktop,166,7,0,0,12
9 may 2019,desktop,85,11,0,0,18
9 may 2019,mobile,50,13,0,0,18
10 may 2019,mobile,36,12,0,0,19
10 may 2019,desktop,138,16,0,0,25
11 may 2019,mobile,15,3,0,0,6
11 may 2019,desktop,6,4,0,0,6
12 may 2019,tablet,1,1,0,0,1
12 may 2019,desktop,23,12,0,0,16
12 may 2019,mobile,12,3,0,0,6
13 may 2019,mobile,13,1,0,0,6
13 may 2019,desktop,36,7,0,0,12
14 may 2019,desktop,28,12,0,0,21
