Fecha,Categoría de dispositivo,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
16 feb 2023,mobile,1,1,1,1,1
17 feb 2023,desktop,18,7,11,1.4545454545454546,16
17 feb 2023,mobile,11,10,11,1.1,11
18 feb 2023,desktop,1,1,1,1,1
19 feb 2023,mobile,1,1,1,1,1
20 feb 2023,mobile,3,3,3,1,3
21 feb 2023,mobile,3,3,3,1,3
21 feb 2023,desktop,1,1,1,1,1
22 feb 2023,desktop,7,5,6,1,6
22 feb 2023,mobile,4,4,4,1,4
23 feb 2023,mobile,10,8,8,1.125,9
23 feb 2023,desktop,2,2,2,1.5,3
24 feb 2023,mobile,6,5,5,1,5
24 feb 2023,desktop,1,1,1,1,1
25 feb 2023,mobile,7,6,7,1.1666666666666667,7
25 feb 2023,desktop,6,4,4,1,4
26 feb 2023,mobile,12,6,8,1.8333333333333333,11
26 feb 2023,desktop,2,1,1,1,1
26 feb 2023,smart tv,1,1,1,1,1
27 feb 2023,desktop,13,10,12,1,12
27 feb 2023,mobile,17,9,13,1.3636363636363635,15
28 feb 2023,mobile,25,11,15,1.2142857142857142,17
28 feb 2023,desktop,15,5,6,1.1666666666666667,7
28 feb 2023,tablet,1,1,1,1,1
1 mar 2023,mobile,35,16,18,1.0588235294117647,18
1 mar 2023,desktop,8,3,6,1.75,7
2 mar 2023,mobile,24,12,14,1.3076923076923077,17
2 mar 2023,desktop,13,8,11,1.2,12
2 mar 2023,tablet,2,2,2,1,2
3 mar 2023,mobile,11,7,9,1.125,9
3 mar 2023,desktop,28,4,6,1.1666666666666667,7
4 mar 2023,mobile,10,5,5,1,5
4 mar 2023,desktop,1,1,1,1,1
5 mar 2023,desktop,10,4,5,1.5,6
5 mar 2023,mobile,6,3,6,2,6
6 mar 2023,mobile,19,11,12,1.2727272727272727,14
6 mar 2023,desktop,12,7,8,1.2857142857142858,9
7 mar 2023,mobile,10,5,8,1,8
7 mar 2023,desktop,9,5,7,1.1428571428571428,8
8 mar 2023,mobile,16,9,10,1.2222222222222223,11
8 mar 2023,desktop,13,4,6,1.1666666666666667,7
9 mar 2023,desktop,5,3,5,1.25,5
9 mar 2023,mobile,7,3,7,1.75,7
10 mar 2023,mobile,12,7,10,1.1111111111111112,10
10 mar 2023,desktop,12,6,7,1.1428571428571428,8
10 mar 2023,tablet,1,1,1,1,1
11 mar 2023,mobile,5,3,3,1,3
11 mar 2023,desktop,6,2,2,1.5,3
12 mar 2023,mobile,5,5,5,1,5
12 mar 2023,desktop,3,1,1,2,2
13 mar 2023,desktop,13,4,7,1.2857142857142858,9
13 mar 2023,mobile,7,5,5,1,5
14 mar 2023,mobile,10,3,5,1,5
14 mar 2023,desktop,6,3,4,2.3333333333333335,7
14 mar 2023,tablet,1,1,1,1,1
15 mar 2023,mobile,27,12,13,1.1538461538461537,15
15 mar 2023,desktop,20,10,13,1.1666666666666667,14
15 mar 2023,tablet,2,1,1,1,1
16 mar 2023,mobile,27,11,17,1.0588235294117647,18
16 mar 2023,desktop,9,3,6,1.2,6
17 mar 2023,desktop,17,7,10,1.1,11
17 mar 2023,mobile,7,0,4,2,4
18 mar 2023,mobile,18,8,11,1.2,12
18 mar 2023,desktop,11,6,6,1,6
19 mar 2023,mobile,10,6,7,1,7
19 mar 2023,desktop,2,2,2,1,2
19 mar 2023,tablet,1,1,1,1,1
20 mar 2023,desktop,13,8,11,1.3,13
20 mar 2023,mobile,17,8,11,1.2,12
21 mar 2023,mobile,24,14,15,1,15
21 mar 2023,desktop,3,1,3,1.3333333333333333,4
22 mar 2023,desktop,11,6,10,1.625,13
22 mar 2023,mobile,13,6,6,1.1666666666666667,7
23 mar 2023,mobile,12,8,9,1.1111111111111112,10
23 mar 2023,desktop,8,5,6,1.2,6
24 mar 2023,mobile,4,4,4,1,4
24 mar 2023,desktop,1,1,1,1,1
25 mar 2023,mobile,8,7,8,1,8
25 mar 2023,desktop,2,2,2,1,2
26 mar 2023,mobile,10,8,10,1.1111111111111112,10
26 mar 2023,desktop,3,3,3,1,3
26 mar 2023,tablet,1,1,1,1,1
27 mar 2023,mobile,6,6,6,1,6
27 mar 2023,desktop,3,2,3,1.5,3
28 mar 2023,desktop,7,4,7,1.1666666666666667,7
28 mar 2023,mobile,10,5,6,1,6
28 mar 2023,tablet,1,1,1,1,1
29 mar 2023,mobile,14,7,11,1.2222222222222223,11
29 mar 2023,desktop,13,6,6,1,6
30 mar 2023,desktop,9,8,9,1,9
30 mar 2023,mobile,10,5,10,1.25,10
31 mar 2023,mobile,43,6,11,1.3,13
31 mar 2023,desktop,56,2,4,1.25,5
1 abr 2023,desktop,17,6,6,1,6
1 abr 2023,mobile,5,2,3,1,3
2 abr 2023,mobile,13,9,11,1.2222222222222223,11
2 abr 2023,desktop,1,1,1,1,1
2 abr 2023,tablet,1,1,1,1,1
3 abr 2023,desktop,8,5,5,1,5
3 abr 2023,mobile,15,5,7,1.6,8
3 abr 2023,smart tv,1,1,1,1,1
4 abr 2023,mobile,17,9,9,1,9
4 abr 2023,desktop,11,5,7,1,7
4 abr 2023,tablet,2,1,1,1,1
5 abr 2023,mobile,9,8,9,1,9
5 abr 2023,desktop,4,3,4,1,4
6 abr 2023,desktop,7,3,3,1,3
6 abr 2023,mobile,3,3,3,1,3
7 abr 2023,desktop,8,5,5,1,5
7 abr 2023,mobile,1,1,1,1,1
8 abr 2023,desktop,8,5,7,1.3333333333333333,8
8 abr 2023,mobile,5,5,5,1,5
9 abr 2023,mobile,12,1,2,1,2
9 abr 2023,desktop,7,1,1,1,1
