Fecha,Categoría de dispositivo,Número de vistas de página
23 oct 2019,desktop,49
24 oct 2019,desktop,39
24 oct 2019,mobile,14
25 oct 2019,mobile,17
25 oct 2019,desktop,12
26 oct 2019,desktop,2
26 oct 2019,mobile,9
27 oct 2019,mobile,6
28 oct 2019,desktop,31
28 oct 2019,mobile,15
29 oct 2019,desktop,13
29 oct 2019,mobile,11
30 oct 2019,desktop,12
30 oct 2019,mobile,4
31 oct 2019,mobile,4
31 oct 2019,desktop,8
1 nov 2019,mobile,19
1 nov 2019,desktop,20
2 nov 2019,desktop,11
2 nov 2019,mobile,10
3 nov 2019,desktop,3
3 nov 2019,mobile,22
4 nov 2019,mobile,27
4 nov 2019,desktop,52
5 nov 2019,mobile,9
5 nov 2019,desktop,20
6 nov 2019,mobile,7
6 nov 2019,desktop,6
7 nov 2019,desktop,23
7 nov 2019,mobile,103
8 nov 2019,desktop,35
8 nov 2019,mobile,83
9 nov 2019,desktop,131
9 nov 2019,tablet,1
9 nov 2019,mobile,54
10 nov 2019,mobile,87
10 nov 2019,desktop,11
11 nov 2019,mobile,54
11 nov 2019,desktop,22
12 nov 2019,mobile,37
12 nov 2019,desktop,13
13 nov 2019,mobile,15
13 nov 2019,desktop,66
14 nov 2019,desktop,4
14 nov 2019,mobile,27
15 nov 2019,desktop,4
15 nov 2019,mobile,11
16 nov 2019,mobile,8
16 nov 2019,desktop,2
17 nov 2019,desktop,5
17 nov 2019,mobile,8
18 nov 2019,mobile,20
18 nov 2019,desktop,13
19 nov 2019,desktop,29
19 nov 2019,mobile,9
20 nov 2019,desktop,25
20 nov 2019,mobile,14
21 nov 2019,mobile,23
21 nov 2019,desktop,17
22 nov 2019,tablet,1
22 nov 2019,mobile,17
22 nov 2019,desktop,4
23 nov 2019,desktop,8
23 nov 2019,mobile,21
24 nov 2019,desktop,3
25 nov 2019,desktop,5
25 nov 2019,mobile,3
26 nov 2019,mobile,12
26 nov 2019,desktop,5
27 nov 2019,desktop,4
27 nov 2019,mobile,5
28 nov 2019,desktop,30
28 nov 2019,mobile,8
29 nov 2019,desktop,8
29 nov 2019,mobile,27
30 nov 2019,mobile,4
30 nov 2019,desktop,10
1 dic 2019,mobile,10
2 dic 2019,mobile,18
2 dic 2019,desktop,13
3 dic 2019,desktop,35
3 dic 2019,mobile,6
3 dic 2019,tablet,1
4 dic 2019,mobile,18
4 dic 2019,desktop,17
5 dic 2019,mobile,4
5 dic 2019,desktop,4
6 dic 2019,desktop,15
6 dic 2019,mobile,18
7 dic 2019,desktop,6
7 dic 2019,mobile,8
8 dic 2019,desktop,1
8 dic 2019,mobile,3
9 dic 2019,desktop,9
9 dic 2019,mobile,2
10 dic 2019,desktop,17
10 dic 2019,mobile,1
11 dic 2019,desktop,16
12 dic 2019,desktop,11
13 dic 2019,mobile,2
13 dic 2019,desktop,9
14 dic 2019,mobile,2
14 dic 2019,desktop,16
15 dic 2019,desktop,5
15 dic 2019,mobile,3
16 dic 2019,desktop,13
16 dic 2019,mobile,4
17 dic 2019,desktop,12
17 dic 2019,mobile,3
18 dic 2019,mobile,1
18 dic 2019,desktop,17
19 dic 2019,mobile,2
19 dic 2019,desktop,29
20 dic 2019,mobile,2
20 dic 2019,desktop,14
21 dic 2019,desktop,5
21 dic 2019,mobile,5
22 dic 2019,desktop,2
22 dic 2019,mobile,3
23 dic 2019,desktop,19
