,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,FreeBSD,Playstation 4,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Paid Search,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
79,26 dic 2018,10,4,7,1.0,7,5,5,8,2,0,3.333333333333333,3.39934634239519,1,1,1,7,0,0,0,0,0,0,0,0.9090909090909092,1.9750509984000384,5,4,0,1,0,2.0,2.0976176963403037
80,27 dic 2018,44,6,7,1.0,7,43,1,6,38,0,14.666666666666664,16.679994670929073,0,38,0,6,0,0,0,0,0,0,0,4.0,10.887858124785359,32,12,0,0,0,8.8,12.496399481450648
81,28 dic 2018,12,4,4,1.0,4,12,0,2,10,0,4.0,4.320493798938574,0,10,0,2,0,0,0,0,0,0,0,1.0909090909090908,2.8747978728803463,0,12,0,0,0,2.4,4.800000000000002
82,29 dic 2018,10,3,5,1.0,5,9,1,2,8,0,3.333333333333333,3.39934634239519,0,1,7,2,0,0,0,0,0,0,0,0.9090909090909092,2.020555524626624,2,8,0,0,0,2.0,3.0983866769659336
83,30 dic 2018,26,1,2,1.0,2,26,0,1,25,0,8.666666666666666,11.556623882239812,0,25,0,1,0,0,0,0,0,0,0,2.363636363636364,7.163959383580196,0,26,0,0,0,5.2,10.4
84,31 dic 2018,1,0,1,1.0,1,1,0,0,1,0,0.3333333333333333,0.4714045207910317,0,1,0,0,0,0,0,0,0,0,0,0.09090909090909093,0.2874797872880344,0,1,0,0,0,0.2,0.4000000000000001
85,1 ene 2019,11,1,1,1.0,1,11,0,11,0,0,3.6666666666666665,5.1854497287013475,0,0,0,11,0,0,0,0,0,0,0,1.0,3.1622776601683795,0,11,0,0,0,2.2,4.4
86,2 ene 2019,9,3,5,1.0,5,7,2,8,1,0,3.0,3.559026084010437,1,1,0,7,0,0,0,0,0,0,0,0.8181818181818182,1.9917183909278768,6,3,0,0,0,1.8,2.4000000000000004
87,3 ene 2019,3,1,2,1.0,2,1,2,0,3,0,1.0,1.4142135623730951,0,2,1,0,0,0,0,0,0,0,0,0.2727272727272727,0.6165754530113879,0,3,0,0,0,0.6,1.2000000000000002
88,4 ene 2019,10,8,8,1.0,8,9,1,7,3,0,3.333333333333333,2.867441755680876,0,2,1,7,0,0,0,0,0,0,0,0.9090909090909092,2.020555524626624,1,9,0,0,0,2.0,3.521363372331802
89,5 ene 2019,4,1,2,1.0,2,4,0,3,1,0,1.3333333333333333,1.247219128924647,0,1,0,3,0,0,0,0,0,0,0,0.3636363636363637,0.8813963377120597,0,4,0,0,0,0.8,1.6000000000000003
90,6 ene 2019,8,1,2,1.0,2,8,0,1,7,0,2.6666666666666665,3.091206165165235,0,7,0,1,0,0,0,0,0,0,0,0.7272727272727273,2.0041279713680544,0,8,0,0,0,1.6,3.2000000000000006
91,7 ene 2019,5,2,2,1.0,2,3,2,5,0,0,1.6666666666666667,2.3570226039551585,0,0,0,5,0,0,0,0,0,0,0,0.4545454545454545,1.4373989364401722,0,5,0,0,0,1.0,2.0
92,8 ene 2019,26,3,6,1.1666666666666667,7,21,5,24,2,0,8.666666666666666,10.873004286866728,0,2,0,23,1,0,0,0,0,0,0,2.363636363636364,6.554286970063976,1,25,0,0,0,5.2,9.907572861200668
93,9 ene 2019,10,2,3,1.0,3,10,0,10,0,0,3.333333333333333,4.714045207910317,0,0,0,3,7,0,0,0,0,0,0,0.9090909090909092,2.108620637226036,0,10,0,0,0,2.0,4.0
94,10 ene 2019,16,5,5,1.0,5,11,5,15,1,0,5.333333333333333,6.847546194724712,0,0,1,5,10,0,0,0,0,0,0,1.4545454545454546,3.0559520570857472,0,16,0,0,0,3.2,6.400000000000001
95,11 ene 2019,38,2,3,1.0,3,21,17,19,19,0,12.666666666666664,8.956685895029603,0,19,0,17,2,0,0,0,0,0,0,3.4545454545454546,6.893523130955955,0,38,0,0,0,7.6,15.2
96,12 ene 2019,8,3,5,1.4,7,7,1,4,4,0,2.6666666666666665,1.8856180831641267,0,4,0,4,0,0,0,0,0,0,0,0.7272727272727273,1.5427784316797395,2,6,0,0,0,1.6,2.33238075793812
